관리_건축물대장_PK,VARCHAR(33)
시군구_코드,VARCHAR(5)
시군구_명,VARCHAR(50)
법정동_코드,VARCHAR(5)
법정동_명,VARCHAR(50)
대지_구분_코드,VARCHAR(1)
대지구분_명,VARCHAR(50)
번,VARCHAR(4)
지,VARCHAR(4)
특수지명,VARCHAR(200)
블록,VARCHAR(20)
로트,VARCHAR(20)
새주소대지위치,VARCHAR(400)
새주소도로_코드,VARCHAR(12)
새주소법정동_코드,VARCHAR(5)
새주소지상지하_코드,VARCHAR(1)
새주소지상지하_명,VARCHAR(100)
새주소본번,VARCHAR(5)
새주소부번,VARCHAR(5)
대장구분_코드,VARCHAR(1)
대장구분_명,VARCHAR(100)
대장종류_코드,VARCHAR(1)
대장종류_명,VARCHAR(100)
건물명,VARCHAR(100)
동명칭,VARCHAR(100)
호명칭,VARCHAR(100)
면적(㎡),"NUMERIC(19,9)"
소유구분_코드,VARCHAR(2)
소유구분_명,VARCHAR(100)
변동원인일,VARCHAR(8)
